"script_name","run_time","red","green","blue","x_coordinate","y_coordinate","finished"
"xwd-convert-chained.py",227.25915908800002,20,21,22,2507,1321,1515976711.779142
"xwd-convert-chained.py",227.205991745,34,31,34,29,473,1515976712.15454
"xwd-convert-chained.py",234.55905914299998,45,42,46,1584,963,1515976712.52176
"xwd-convert-chained.py",226.44996643099998,20,21,22,2349,1211,1515976712.849154
"xwd-convert-chained.py",214.02001380899998,45,42,46,1534,890,1515976713.177698
"xwd-convert-chained.py",214.54501152,34,31,34,125,581,1515976713.548416
"xwd-convert-chained.py",229.367017746,40,85,119,201,420,1515976713.870436
"xwd-convert-chained.py",210.540056229,40,85,119,1,522,1515976714.24444
"xwd-convert-chained.py",233.756065369,45,42,46,1177,666,1515976714.620458
"xwd-convert-chained.py",234.100818634,20,21,22,2355,744,1515976714.988218
"xwd-convert-chained.py",226.548194885,45,42,46,383,536,1515976715.312548
"xwd-convert-chained.py",209.16795730599998,45,42,46,530,1320,1515976715.680926
"xwd-convert-chained.py",226.30190849299998,20,21,22,2874,1091,1515976716.053946
"xwd-convert-chained.py",229.33793067899998,55,52,56,1037,1393,1515976716.427047
"xwd-convert-chained.py",232.172012329,217,217,216,66,643,1515976716.747442
"xwd-convert-chained.py",208.601951599,20,21,22,2395,714,1515976717.11927
"xwd-convert-chained.py",230.360031128,200,200,199,1415,1108,1515976717.481851
"xwd-convert-chained.py",221.676111221,45,42,46,1550,1074,1515976717.844966
"xwd-convert-chained.py",222.493171692,45,42,46,795,1044,1515976718.213981
"xwd-convert-chained.py",229.55179214499998,20,21,22,2755,433,1515976718.531754
"xwd-convert-chained.py",206.593036652,20,21,22,2347,835,1515976718.887704
"xwd-convert-chained.py",217.167854309,102,103,101,2437,946,1515976719.253189
"xwd-convert-chained.py",223.560810089,34,31,34,248,665,1515976719.610993
"xwd-convert-chained.py",216.6659832,45,42,46,1640,1204,1515976719.979169
"xwd-convert-chained.py",227.437019348,45,42,46,1331,1381,1515976720.304766
"xwd-convert-chained.py",207.88693428,20,21,22,2956,958,1515976720.624719
"xwd-convert-chained.py",208.284139633,45,42,46,1456,1362,1515976720.950882
"xwd-convert-chained.py",210.75510978699998,45,42,46,1882,607,1515976721.275143
"xwd-convert-chained.py",208.512067795,20,21,22,2398,1006,1515976721.600574
"xwd-convert-chained.py",207.870960236,45,42,46,780,1130,1515976721.979928
"xwd-convert-chained.py",236.73200607299998,45,42,46,936,1179,1515976722.366906
"xwd-convert-chained.py",246.938943863,47,52,63,1598,440,1515976722.726721
"xwd-convert-chained.py",218.943119049,45,42,46,1665,661,1515976723.049835
"xwd-convert-chained.py",209.12289619400002,20,21,22,2318,638,1515976723.410478
"xwd-convert-chained.py",220.18289565999999,82,83,81,2024,686,1515976723.779619
"xwd-convert-chained.py",228.45602035500002,74,74,73,2319,1004,1515976724.100079
"xwd-convert-chained.py",208.01115036000002,45,42,46,655,1144,1515976724.460525
"xwd-convert-chained.py",219.86913681000001,20,21,22,2781,1245,1515976724.82298
"xwd-convert-chained.py",222.409963608,20,21,22,1946,1281,1515976725.142751
"xwd-convert-chained.py",207.192897797,45,42,46,1620,652,1515976725.508826
"xwd-convert-chained.py",224.514961243,45,42,46,1088,783,1515976725.843041
"xwd-convert-chained.py",216.87912941000002,34,31,34,105,733,1515976726.161879
"xwd-convert-chained.py",207.20410347,20,21,22,2521,1314,1515976726.530116
"xwd-convert-chained.py",224.59602356,20,21,22,2285,638,1515976726.861232
"xwd-convert-chained.py",208.354949951,45,42,46,1802,957,1515976727.185453
"xwd-convert-chained.py",206.75611496,45,42,46,1122,1087,1515976727.553044
"xwd-convert-chained.py",241.944074631,20,21,22,2873,433,1515976727.912739
"xwd-convert-chained.py",216.07804298399998,45,42,46,1569,759,1515976728.233113
"xwd-convert-chained.py",207.989215851,45,42,46,1702,630,1515976728.592801
"xwd-convert-chained.py",218.379020691,20,21,22,2752,1298,1515976728.918542
"xwd-convert-chained.py",207.796096802,45,42,46,1444,946,1515976729.285924
"xwd-convert-chained.py",226.80997848500002,45,42,46,791,1365,1515976729.612795
"xwd-convert-chained.py",215.22212028500002,34,31,34,70,502,1515976729.985609
"xwd-convert-chained.py",231.36305808999998,34,31,34,122,818,1515976730.312309
"xwd-convert-chained.py",209.167003632,45,42,46,1537,792,1515976730.631711
"xwd-convert-chained.py",207.257986069,45,42,46,1361,743,1515976730.997282
"xwd-convert-chained.py",223.26588630700002,45,42,46,1055,830,1515976730.997422
"xlib-color.py",0.352144241333,45,42,46,803,610,1515976736.313867
"xlib-color.py",0.401973724365,20,21,22,2777,1033,1515976736.498046
"xlib-color.py",0.547170639038,45,42,46,1049,1265,1515976736.672997
"xlib-color.py",0.38599967956500003,20,21,22,2231,760,1515976736.836186
"xlib-color.py",0.37693977355999997,148,148,144,2799,1254,1515976737.012687
"xlib-color.py",0.344038009644,45,42,46,1080,508,1515976737.187704
"xlib-color.py",0.41699409484899996,20,21,22,2859,938,1515976737.362109
"xlib-color.py",0.42200088501,45,42,46,1537,704,1515976737.537049
"xlib-color.py",0.42295455932599996,45,42,46,274,1339,1515976737.672502
"xlib-color.py",0.425100326538,20,21,22,2694,1132,1515976737.828338
"xlib-color.py",0.40698051452600004,45,42,46,1236,1082,1515976738.002312
"xlib-color.py",0.391006469727,20,21,22,2372,978,1515976738.178605
"xlib-color.py",0.259876251221,62,60,63,1796,937,1515976738.34885
"xlib-color.py",0.394105911255,20,21,22,2637,1109,1515976738.493087
"xlib-color.py",0.38599967956500003,45,42,46,205,1185,1515976738.667542
"xlib-color.py",0.40102005004900004,45,42,46,789,882,1515976738.842408
"xlib-color.py",0.455141067505,20,21,22,2038,440,1515976739.016775
"xlib-color.py",0.46205520629900004,20,21,22,2889,589,1515976739.177841
"xlib-color.py",0.415086746216,20,21,22,2085,1318,1515976739.342176
"xlib-color.py",0.44393539428699996,45,42,46,830,944,1515976739.480979
"xlib-color.py",0.37407875061,45,42,46,1378,860,1515976739.642123
"xlib-color.py",0.39005279541000004,34,31,34,67,498,1515976739.817462
"xlib-color.py",0.46706199646,20,21,22,2388,566,1515976739.953988
"xlib-color.py",0.383853912354,45,42,46,342,645,1515976740.127946
"xlib-color.py",0.360012054443,20,21,22,2351,890,1515976740.270919
"xlib-color.py",0.377178192139,45,42,46,198,1189,1515976740.448912
"xlib-color.py",0.439882278442,45,42,46,1691,1163,1515976740.583566
"xlib-color.py",0.34499168396,20,21,22,2470,834,1515976740.753196
"xlib-color.py",0.35595893859899996,45,42,46,1383,1186,1515976740.923312
"xlib-color.py",0.458955764771,20,21,22,2912,517,1515976741.085651
"xlib-color.py",0.36191940307599996,45,42,46,1467,539,1515976741.218963
"xlib-color.py",0.380992889404,45,42,46,908,1244,1515976741.39057
"xlib-color.py",0.35595893859899996,45,42,46,1240,753,1515976741.563361
"xlib-color.py",0.424861907959,45,42,46,1669,1353,1515976741.737252
"xlib-color.py",0.42986869812,34,31,34,242,891,1515976741.912186
"xlib-color.py",0.39196014404299995,45,42,46,1856,1389,1515976742.086859
"xlib-color.py",0.421047210693,45,42,46,1649,1162,1515976742.22542
"xlib-color.py",0.34999847412100005,20,21,22,2689,934,1515976742.397695
"xlib-color.py",0.415086746216,45,42,46,1643,639,1515976742.572229
"xlib-color.py",0.37407875061,47,52,63,265,453,1515976742.723836
"xlib-color.py",0.49901008605999997,34,31,34,183,523,1515976742.85697
"xlib-color.py",0.38290023803699996,20,21,22,2632,634,1515976743.032322
"xlib-color.py",0.456809997559,45,42,46,1015,1267,1515976743.195544
"xlib-color.py",0.365018844604,20,21,22,2507,1321,1515976743.368271
"xlib-color.py",0.463008880615,34,31,34,29,473,1515976743.543296
"xlib-color.py",0.46420097351100004,45,42,46,1584,963,1515976743.717771
"xlib-color.py",0.324010848999,20,21,22,2349,1211,1515976743.881744
"xlib-color.py",0.36692619323700004,45,42,46,1534,890,1515976744.014356
"xlib-color.py",0.346899032593,34,31,34,125,581,1515976744.14989
"xlib-color.py",0.346899032593,40,85,119,201,420,1515976744.322732
"xlib-color.py",0.40602684021,40,85,119,1,522,1515976744.497553
"xlib-color.py",0.38599967956500003,45,42,46,1177,666,1515976744.669148
"xlib-color.py",0.40102005004900004,20,21,22,2355,744,1515976744.832973
"xlib-color.py",0.354051589966,45,42,46,383,536,1515976744.999054
"xlib-color.py",0.34904479980500003,45,42,46,530,1320,1515976745.172343
"xlib-color.py",0.326871871948,20,21,22,2874,1091,1515976745.345926
"xlib-color.py",0.391006469727,55,52,56,1037,1393,1515976745.482809
"xlib-color.py",0.44703483581500003,217,217,216,66,643,1515976745.652967
"xlib-color.py",0.364065170288,20,21,22,2395,714,1515976745.798485
"xlib-color.py",0.362157821655,200,200,199,1415,1108,1515976745.930947
"xlib-color.py",0.341176986694,45,42,46,1550,1074,1515976746.094472
"xlib-color.py",0.25200843811,45,42,46,795,1044,1515976746.267507
"xlib-color.py",0.381946563721,20,21,22,2755,433,1515976746.438532
"xlib-color.py",0.397920608521,20,21,22,2347,835,1515976746.612765
"xlib-color.py",0.42009353637700003,102,103,101,2437,946,1515976746.787342
"xlib-color.py",0.40912628173800003,34,31,34,248,665,1515976746.926747
"xlib-color.py",0.39291381835899997,45,42,46,1640,1204,1515976747.061432
"xlib-color.py",0.42700767517099997,45,42,46,1331,1381,1515976747.233008
"xlib-color.py",0.39696693420400003,20,21,22,2956,958,1515976747.407516
"xlib-color.py",0.28491020202600004,45,42,46,1456,1362,1515976747.539839
"xlib-color.py",0.383138656616,45,42,46,1882,607,1515976747.712609
"xlib-color.py",0.378847122192,20,21,22,2398,1006,1515976747.871259
"xlib-color.py",0.368118286133,45,42,46,780,1130,1515976748.003897
"xlib-color.py",0.38218498230000003,45,42,46,936,1179,1515976748.17776
"xlib-color.py",0.45919418335,47,52,63,1598,440,1515976748.310782
"xlib-color.py",0.36907196044900004,45,42,46,1665,661,1515976748.447684
"xlib-color.py",0.39601325988799996,20,21,22,2318,638,1515976748.580526
"xlib-color.py",0.442028045654,82,83,81,2024,686,1515976748.74872
